Student Number,Folder 1,Folder 2,Folder 3,Folder 4,Folder 5,Folder 6,Folder 7,Folder 8,Folder 9,Folder 10,Folder 11,Folder 12,Solutions,Past Exam Paper,Course Help Files
1,0,0,0,2,2,7,1,0,0,0,0,0,0,0,3
2,0,0,0,1,6,8,1,0,0,0,0,0,0,0,2
3,0,0,0,1,5,7,2,0,0,0,0,0,0,0,3
4,0,1,1,0,10,13,2,0,0,0,0,0,0,0,4
5,0,0,0,3,7,11,2,0,0,0,0,0,0,0,2
6,0,0,0,0,7,10,1,0,0,0,0,0,0,0,4
7,0,0,0,2,3,8,1,0,0,0,0,0,0,0,0
8,0,0,0,2,4,7,1,0,0,0,0,0,0,0,1
9,0,0,0,0,2,5,0,0,0,0,0,0,0,0,4
10,0,0,0,2,1,7,2,0,0,0,0,0,0,0,3
11,0,0,0,0,4,15,2,0,0,0,0,0,0,0,1
12,0,0,0,0,2,6,1,0,0,0,0,0,0,0,4
13,1,0,3,6,18,19,1,0,0,0,0,0,0,0,4
14,0,0,0,1,8,12,1,0,0,0,0,0,0,0,1
15,0,2,0,1,13,21,1,0,0,0,0,0,0,0,0
16,0,0,4,2,16,16,1,0,0,0,0,0,0,0,2
17,0,0,0,1,7,12,1,0,0,0,0,0,0,0,3
18,0,0,0,2,5,7,1,0,0,0,0,0,0,0,0
19,0,0,0,0,3,4,0,0,0,0,0,0,0,0,2
20,0,0,0,0,4,6,0,0,0,0,0,0,0,0,1
21,0,0,0,3,8,8,1,0,0,0,0,0,0,0,0
22,0,0,2,2,5,8,1,0,0,0,0,0,0,0,2
23,1,0,0,0,3,11,1,0,0,0,0,0,0,0,0
24,0,1,2,3,5,10,1,0,0,0,0,0,0,0,1
25,0,0,0,3,7,10,0,0,0,0,0,0,0,0,3
26,0,0,1,1,7,8,1,0,0,0,0,0,0,0,4
27,0,0,0,1,1,8,0,0,0,0,0,0,0,0,2
28,0,0,0,1,0,8,0,0,0,0,0,0,0,0,4
29,0,0,0,3,5,14,1,0,0,0,0,0,0,0,0
30,0,0,0,1,0,6,2,0,0,0,0,0,0,0,3
31,0,0,2,0,12,17,0,0,0,0,0,0,0,0,4
32,0,0,0,0,4,9,1,0,0,0,0,0,0,0,4
33,0,0,0,2,1,7,1,0,0,0,0,0,0,0,1
34,0,0,0,2,6,8,1,0,0,0,0,0,0,0,2
35,1,0,0,1,3,7,1,0,0,0,0,0,0,0,2
36,0,0,0,1,5,5,1,0,0,0,0,0,0,0,0
37,0,3,1,3,9,9,1,0,0,0,0,0,0,0,2
38,0,2,3,0,10,15,0,0,0,0,0,0,0,0,0
39,0,0,0,2,1,8,1,0,0,0,0,0,0,0,0
40,0,0,2,4,15,21,0,0,0,0,0,0,0,0,1
41,0,0,0,1,3,3,1,0,0,0,0,0,0,0,2
42,0,0,1,0,4,15,1,0,0,0,0,0,0,0,3
43,1,0,0,4,8,10,1,0,0,0,0,0,0,0,4
44,0,2,0,2,1,5,2,0,0,0,0,0,0,0,2
45,0,0,1,0,11,17,1,0,0,0,0,0,0,0,3
46,0,1,0,4,8,14,0,0,0,0,0,0,0,0,4
47,0,0,2,1,9,11,0,0,0,0,0,0,0,0,0
48,0,1,0,1,4,10,2,0,0,0,0,0,0,0,2
49,0,0,0,1,1,7,1,0,0,0,0,0,0,0,3
50,0,0,0,0,1,9,0,0,0,0,0,0,0,0,3
51,1,3,3,2,16,19,1,0,0,0,0,0,0,0,4
52,0,0,0,0,4,6,1,0,0,0,0,0,0,0,3
53,0,0,0,2,9,9,1,0,0,0,0,0,0,0,3
54,0,0,1,4,8,9,2,0,0,0,0,0,0,0,1
55,0,0,2,2,1,7,1,0,0,0,0,0,0,0,4
56,0,1,0,2,2,6,1,0,0,0,0,0,0,0,0
57,0,2,1,2,7,16,2,0,0,0,0,0,0,0,4
58,0,0,0,1,3,3,1,0,0,0,0,0,0,0,3
59,0,0,0,2,11,12,2,0,0,0,0,0,0,0,3
60,0,0,0,0,2,10,0,0,0,0,0,0,0,0,4
61,0,0,0,7,26,27,1,0,0,0,0,0,0,0,0
62,0,0,0,1,3,8,1,0,0,0,0,0,0,0,4
63,0,1,0,1,6,10,1,0,0,0,0,0,0,0,3
64,0,4,3,3,10,14,0,0,0,0,0,0,0,0,1
65,0,0,0,1,2,10,1,0,0,0,0,0,0,0,0
66,0,0,0,0,4,6,1,0,0,0,0,0,0,0,0
67,0,0,0,0,7,14,1,0,0,0,0,0,0,0,3
68,0,0,0,2,1,4,1,0,0,0,0,0,0,0,3
69,0,0,0,0,4,12,1,0,0,0,0,0,0,0,4
70,0,0,0,1,2,4,0,0,0,0,0,0,0,0,4
71,0,0,0,0,2,5,1,0,0,0,0,0,0,0,1
72,0,2,2,3,5,14,1,0,0,0,0,0,0,0,1
