Student Number,Folder 1,Folder 2,Folder 3,Folder 4,Folder 5,Folder 6,Folder 7,Folder 8,Folder 9,Folder 10,Folder 11,Folder 12,Solutions,Past Exam Paper,Course Help Files
1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0
2,0,5,8,3,0,0,0,0,0,0,0,0,0,0,1
3,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1
4,0,12,14,7,0,0,0,0,0,0,0,0,0,0,0
5,3,1,5,3,0,0,0,0,0,0,0,0,0,0,0
6,1,9,10,4,0,0,0,0,0,0,0,0,0,0,1
7,3,4,7,4,0,0,0,0,0,0,0,0,0,0,0
8,1,4,10,4,0,0,0,0,0,0,0,0,0,0,0
9,3,4,10,4,0,0,0,0,0,0,0,0,0,0,1
10,2,1,7,4,0,0,0,0,0,0,0,0,0,0,1
11,1,9,13,5,0,0,0,0,0,0,0,0,0,0,0
12,3,3,4,1,0,0,0,0,0,0,0,0,0,0,1
13,3,7,11,5,0,0,0,0,0,0,0,0,0,0,0
14,2,6,10,4,0,0,0,0,0,0,0,0,0,0,0
15,0,8,14,5,0,0,0,0,0,0,0,0,0,0,0
16,2,9,10,4,0,0,0,0,0,0,0,0,0,0,0
17,0,10,12,4,0,0,0,0,0,0,0,0,0,0,1
18,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0
19,1,2,3,2,0,0,0,0,0,0,0,0,0,0,0
20,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1
21,2,11,13,6,0,0,0,0,0,0,0,0,0,0,0
22,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0
23,2,4,6,2,0,0,0,0,0,0,0,0,0,0,0
24,0,5,11,6,0,0,0,0,0,0,0,0,0,0,0
25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
27,2,2,8,5,0,0,0,0,0,0,0,0,0,0,1
28,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0
29,0,7,8,5,0,0,0,0,0,0,0,0,0,0,0
30,2,2,4,2,0,0,0,0,0,0,0,0,0,0,1
31,1,6,10,5,0,0,0,0,0,0,0,0,0,0,0
32,0,10,11,6,0,0,0,0,0,0,0,0,0,0,0
33,1,1,4,3,0,0,0,0,0,0,0,0,0,0,1
34,2,11,14,6,0,0,0,0,0,0,0,0,0,0,0
35,0,1,7,3,0,0,0,0,0,0,0,0,0,0,0
36,3,2,3,1,0,0,0,0,0,0,0,0,0,0,1
37,2,3,6,2,0,0,0,0,0,0,0,0,0,0,1
38,3,3,5,4,0,0,0,0,0,0,0,0,0,0,0
39,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0
40,0,12,15,5,0,0,0,0,0,0,0,0,0,0,1
41,3,1,6,2,0,0,0,0,0,0,0,0,0,0,1
42,2,6,12,6,0,0,0,0,0,0,0,0,0,0,0
43,2,7,13,6,0,0,0,0,0,0,0,0,0,0,1
44,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1
45,0,11,13,4,0,0,0,0,0,0,0,0,0,0,1
46,2,5,7,4,0,0,0,0,0,0,0,0,0,0,1
