Student Number,Folder 1,Folder 2,Folder 3,Folder 4,Folder 5,Folder 6,Folder 7,Folder 8,Folder 9,Folder 10,Folder 11,Folder 12,Solutions,Past Exam Paper,Course Help Files
1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,5,4,0,0,0,0,0,0,0,0,0,0,0,1
5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,3,4,9,0,0,0,0,0,0,0,0,0,0,0,1
10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,5,4,5,0,0,0,0,0,0,0,0,0,0,0,1
14,2,4,5,0,0,0,0,0,0,0,0,0,0,0,1
15,6,8,4,0,0,0,0,0,0,0,0,0,0,0,2
16,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,4,9,4,0,0,0,0,0,0,0,0,0,0,0,2
18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
23,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,7,6,0,0,0,0,0,0,0,0,0,0,0,2
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
31,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
32,4,6,4,0,0,0,0,0,0,0,0,0,0,0,1
33,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
34,7,11,6,0,0,0,0,0,0,0,0,0,0,0,3
35,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
39,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
40,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1
43,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
45,1,1,3,0,0,0,0,0,0,0,0,0,0,0,1
46,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,5,8,6,0,0,0,0,0,0,0,0,0,0,0,1
48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0
50,7,6,5,0,0,0,0,0,0,0,0,0,0,0,2
51,9,11,10,0,0,0,0,0,0,0,0,0,0,0,2
52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,0,4,3,0,0,0,0,0,0,0,0,0,0,0,2
57,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0
58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1,6,5,0,0,0,0,0,0,0,0,0,0,0,3
61,1,4,13,0,0,0,0,0,0,0,0,0,0,0,0
62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
64,6,5,4,0,0,0,0,0,0,0,0,0,0,0,1
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,8,10,5,0,0,0,0,0,0,0,0,0,0,0,2
68,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1
69,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1,5,6,0,0,0,0,0,0,0,0,0,0,0,1
73,8,10,7,0,0,0,0,0,0,0,0,0,0,0,0
74,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
75,5,5,7,0,0,0,0,0,0,0,0,0,0,0,1
76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
77,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
78,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,4,11,4,0,0,0,0,0,0,0,0,0,0,0,1
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0
87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,4,4,4,0,0,0,0,0,0,0,0,0,0,0,1
90,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
91,0,5,8,0,0,0,0,0,0,0,0,0,0,0,2
92,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0
93,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
95,4,10,4,0,0,0,0,0,0,0,0,0,0,0,1
96,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
97,3,1,3,0,0,0,0,0,0,0,0,0,0,0,1
98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1,4,5,0,0,0,0,0,0,0,0,0,0,0,3
100,4,6,5,0,0,0,0,0,0,0,0,0,0,0,1
