Student Number,Folder 1,Folder 2,Folder 3,Folder 4,Folder 5,Folder 6,Folder 7,Folder 8,Folder 9,Folder 10,Folder 11,Folder 12,Solutions,Past Exam Paper,Course Help Files
1,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0
2,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0
3,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0
4,0,1,0,6,0,1,0,0,0,0,0,0,0,0,1
5,0,0,1,2,5,3,0,0,0,0,0,0,0,0,0
6,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0
7,0,0,1,3,3,1,0,0,0,0,0,0,0,0,0
8,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
9,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0
10,0,0,1,4,4,3,0,0,0,0,0,0,0,0,0
11,0,2,1,9,9,3,0,0,0,0,0,0,0,0,1
12,0,0,2,2,2,1,0,0,0,0,0,0,0,0,1
13,0,0,1,11,5,1,0,0,0,0,0,0,0,0,1
14,0,0,0,3,4,0,0,0,0,0,0,0,0,0,1
15,0,0,2,14,4,0,0,0,0,0,0,0,0,0,1
16,0,0,0,5,7,0,0,0,0,0,0,0,0,0,1
17,0,0,3,5,9,1,0,0,0,0,0,0,0,0,0
18,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0
19,0,0,1,1,4,0,0,0,0,0,0,0,0,0,1
20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
21,1,0,0,4,3,2,0,0,0,0,0,0,0,0,0
22,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1
23,0,0,3,1,4,1,0,0,0,0,0,0,0,0,0
24,0,0,1,4,4,0,0,0,0,0,0,0,0,0,1
25,0,0,3,4,0,0,0,0,0,0,0,0,0,0,1
26,0,0,0,2,3,2,0,0,0,0,0,0,0,0,1
27,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1
28,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0
